parroquia,canton,cultivo,ssp,horizonte,aptitud_rf,superficie_ha,deficit_mm,dias_estres,cdd_max,estado_peligro_deficit,estado_peligro_termico,estado_peligro_sequia,estado_exposicion,estado_vulnerabilidad,prob_riesgo_bajo,prob_riesgo_medio,prob_riesgo_alto,indice_riesgo
PLAZA GUTIERREZ,COTACACHI,quinua,ssp126,2041-2060,0.7386,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
QUIROGA,COTACACHI,quinua,ssp126,2041-2060,0.7581,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SEIS DE JULIO DE CUELLAJE,COTACACHI,quinua,ssp126,2041-2060,0.5324,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
VACAS GALINDO,COTACACHI,quinua,ssp126,2041-2060,0.5657,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
OTAVALO,OTAVALO,quinua,ssp126,2041-2060,0.7282,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
DR. MIGUEL EGAS CABEZAS,OTAVALO,quinua,ssp126,2041-2060,0.7282,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
EUGENIO ESPEJO,OTAVALO,quinua,ssp126,2041-2060,0.7244,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
GONZALEZ SUAREZ,OTAVALO,quinua,ssp126,2041-2060,0.7129,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
PATAQUI,OTAVALO,quinua,ssp126,2041-2060,0.7470,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN JOSE DE QUICHINCHE,OTAVALO,quinua,ssp126,2041-2060,0.7596,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN JUAN DE ILUMAN,OTAVALO,quinua,ssp126,2041-2060,0.7282,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN PABLO,OTAVALO,quinua,ssp126,2041-2060,0.7189,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN RAFAEL,OTAVALO,quinua,ssp126,2041-2060,0.7244,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SELVA ALEGRE,OTAVALO,quinua,ssp126,2041-2060,0.5889,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PIMAMPIRO,PIMAMPIRO,quinua,ssp126,2041-2060,0.7469,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
CHUGA,PIMAMPIRO,quinua,ssp126,2041-2060,0.5594,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
MARIANO ACOSTA,PIMAMPIRO,quinua,ssp126,2041-2060,0.6881,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SAN FRANCISCO DE SIGSIPAMBA,PIMAMPIRO,quinua,ssp126,2041-2060,0.5927,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
URCUQUI,SAN MIGUEL DE URCUQUI,quinua,ssp126,2041-2060,0.6737,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
CAHUASQUI,SAN MIGUEL DE URCUQUI,quinua,ssp126,2041-2060,0.7620,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
LA MERCED DE BUENOS AIRES,SAN MIGUEL DE URCUQUI,quinua,ssp126,2041-2060,0.5214,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PABLO ARENAS,SAN MIGUEL DE URCUQUI,quinua,ssp126,2041-2060,0.7197,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN BLAS,SAN MIGUEL DE URCUQUI,quinua,ssp126,2041-2060,0.7197,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
TUMBABIRO,SAN MIGUEL DE URCUQUI,quinua,ssp126,2041-2060,0.7197,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN MIGUEL DE IBARRA,IBARRA,papa,ssp126,2061-2080,0.6127,98.4700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
AMBUQUI,IBARRA,papa,ssp126,2061-2080,0.5260,46.0400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
ANGOCHAGUA,IBARRA,papa,ssp126,2061-2080,0.6547,106.2500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
LA CAROLINA,IBARRA,papa,ssp126,2061-2080,0.3989,11.8900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Alta,0.0350,0.1850,0.7800,0.8725
LA ESPERANZA,IBARRA,papa,ssp126,2061-2080,0.6406,8.8400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
LITA,IBARRA,papa,ssp126,2061-2080,0.1931,0.1800,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Alta,0.1780,0.3770,0.4450,0.6335
SALINAS,IBARRA,papa,ssp126,2061-2080,0.5581,3.3600,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN ANTONIO,IBARRA,papa,ssp126,2061-2080,0.6046,1.0700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
ATUNTAQUI,ANTONIO ANTE,papa,ssp126,2061-2080,0.6279,1.3300,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
IMBAYA,ANTONIO ANTE,papa,ssp126,2061-2080,0.6046,0.1800,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SAN FRANCISCO DE NATABUELA,ANTONIO ANTE,papa,ssp126,2061-2080,0.6046,0.6000,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SAN JOSE DE CHALTURA,ANTONIO ANTE,papa,ssp126,2061-2080,0.6046,1.4400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN ROQUE,ANTONIO ANTE,papa,ssp126,2061-2080,0.6388,0.7300,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
COTACACHI,COTACACHI,papa,ssp126,2061-2080,0.6279,1.3300,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
APUELA,COTACACHI,papa,ssp126,2061-2080,0.6237,0.3700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
GARCIA MORENO,COTACACHI,papa,ssp126,2061-2080,0.2421,0.0500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Alta,0.1780,0.3770,0.4450,0.6335
IMANTAG,COTACACHI,papa,ssp126,2061-2080,0.6412,4.4900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
PENAHERRERA,COTACACHI,papa,ssp126,2061-2080,0.4531,0.3200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PLAZA GUTIERREZ,COTACACHI,papa,ssp126,2061-2080,0.6444,0.4700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
QUIROGA,COTACACHI,papa,ssp126,2061-2080,0.6634,0.9700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SEIS DE JULIO DE CUELLAJE,COTACACHI,papa,ssp126,2061-2080,0.3992,3.8500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Alta,0.0910,0.3290,0.5800,0.7445
VACAS GALINDO,COTACACHI,papa,ssp126,2061-2080,0.4531,0.0500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
OTAVALO,OTAVALO,papa,ssp126,2061-2080,0.6388,45.9200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
DR. MIGUEL EGAS CABEZAS,OTAVALO,papa,ssp126,2061-2080,0.6388,8.1900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
EUGENIO ESPEJO,OTAVALO,papa,ssp126,2061-2080,0.6486,21.2300,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
GONZALEZ SUAREZ,OTAVALO,papa,ssp126,2061-2080,0.6548,67.2900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
PATAQUI,OTAVALO,papa,ssp126,2061-2080,0.6439,5.5200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN JOSE DE QUICHINCHE,OTAVALO,papa,ssp126,2061-2080,0.6578,12.3600,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
SAN JUAN DE ILUMAN,OTAVALO,papa,ssp126,2061-2080,0.6388,0.7500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SAN PABLO,OTAVALO,papa,ssp126,2061-2080,0.6406,120.4200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
SAN RAFAEL,OTAVALO,papa,ssp126,2061-2080,0.6486,37.6000,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
SELVA ALEGRE,OTAVALO,papa,ssp126,2061-2080,0.4893,0.5100,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PIMAMPIRO,PIMAMPIRO,papa,ssp126,2061-2080,0.6765,10.1900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
CHUGA,PIMAMPIRO,papa,ssp126,2061-2080,0.6820,0.7400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
MARIANO ACOSTA,PIMAMPIRO,papa,ssp126,2061-2080,0.7240,52.6000,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SAN FRANCISCO DE SIGSIPAMBA,PIMAMPIRO,papa,ssp126,2061-2080,0.6182,11.3600,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
URCUQUI,SAN MIGUEL DE URCUQUI,papa,ssp126,2061-2080,0.5525,5.2400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
CAHUASQUI,SAN MIGUEL DE URCUQUI,papa,ssp126,2061-2080,0.6688,1.9200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
LA MERCED DE BUENOS AIRES,SAN MIGUEL DE URCUQUI,papa,ssp126,2061-2080,0.4283,0.5400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PABLO ARENAS,SAN MIGUEL DE URCUQUI,papa,ssp126,2061-2080,0.6262,4.9500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN BLAS,SAN MIGUEL DE URCUQUI,papa,ssp126,2061-2080,0.6262,3.2100,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
TUMBABIRO,SAN MIGUEL DE URCUQUI,papa,ssp126,2061-2080,0.6262,5.0400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN MIGUEL DE IBARRA,IBARRA,maiz,ssp126,2061-2080,0.7371,851.8500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
AMBUQUI,IBARRA,maiz,ssp126,2061-2080,0.7132,70.8700,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
ANGOCHAGUA,IBARRA,maiz,ssp126,2061-2080,0.7304,133.1000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
LA CAROLINA,IBARRA,maiz,ssp126,2061-2080,0.6217,0.2900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
LA ESPERANZA,IBARRA,maiz,ssp126,2061-2080,0.7414,166.3000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
LITA,IBARRA,maiz,ssp126,2061-2080,0.4910,1221.0000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
SALINAS,IBARRA,maiz,ssp126,2061-2080,0.7321,45.4700,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN ANTONIO,IBARRA,maiz,ssp126,2061-2080,0.7371,132.4300,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
ATUNTAQUI,ANTONIO ANTE,maiz,ssp126,2061-2080,0.7431,75.4900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
IMBAYA,ANTONIO ANTE,maiz,ssp126,2061-2080,0.7371,57.6900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN FRANCISCO DE NATABUELA,ANTONIO ANTE,maiz,ssp126,2061-2080,0.7371,38.2400,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN JOSE DE CHALTURA,ANTONIO ANTE,maiz,ssp126,2061-2080,0.7371,25.0600,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN ROQUE,ANTONIO ANTE,maiz,ssp126,2061-2080,0.7404,88.5400,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
COTACACHI,COTACACHI,maiz,ssp126,2061-2080,0.7431,255.3300,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
APUELA,COTACACHI,maiz,ssp126,2061-2080,0.7851,164.1200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
GARCIA MORENO,COTACACHI,maiz,ssp126,2061-2080,0.5229,266.2100,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
IMANTAG,COTACACHI,maiz,ssp126,2061-2080,0.7562,208.5200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
PENAHERRERA,COTACACHI,maiz,ssp126,2061-2080,0.7166,163.4700,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
PLAZA GUTIERREZ,COTACACHI,maiz,ssp126,2061-2080,0.7818,89.9900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
QUIROGA,COTACACHI,maiz,ssp126,2061-2080,0.7668,89.9200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SEIS DE JULIO DE CUELLAJE,COTACACHI,maiz,ssp126,2061-2080,0.7298,310.9500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
VACAS GALINDO,COTACACHI,maiz,ssp126,2061-2080,0.7166,109.2500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
OTAVALO,OTAVALO,maiz,ssp126,2061-2080,0.7404,325.6100,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
DR. MIGUEL EGAS CABEZAS,OTAVALO,maiz,ssp126,2061-2080,0.7404,76.4100,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
EUGENIO ESPEJO,OTAVALO,maiz,ssp126,2061-2080,0.7446,130.1500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
GONZALEZ SUAREZ,OTAVALO,maiz,ssp126,2061-2080,0.7361,136.4600,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
PATAQUI,OTAVALO,maiz,ssp126,2061-2080,0.7407,31.2300,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN JOSE DE QUICHINCHE,OTAVALO,maiz,ssp126,2061-2080,0.7786,134.2300,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN JUAN DE ILUMAN,OTAVALO,maiz,ssp126,2061-2080,0.7404,99.1500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN PABLO,OTAVALO,maiz,ssp126,2061-2080,0.7414,460.8500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SAN RAFAEL,OTAVALO,maiz,ssp126,2061-2080,0.7446,183.0800,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SELVA ALEGRE,OTAVALO,maiz,ssp126,2061-2080,0.7018,76.8600,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
PIMAMPIRO,PIMAMPIRO,maiz,ssp126,2061-2080,0.7295,65.1200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
CHUGA,PIMAMPIRO,maiz,ssp126,2061-2080,0.6797,3.0200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
MARIANO ACOSTA,PIMAMPIRO,maiz,ssp126,2061-2080,0.7210,80.5200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN FRANCISCO DE SIGSIPAMBA,PIMAMPIRO,maiz,ssp126,2061-2080,0.6693,0.0500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
URCUQUI,SAN MIGUEL DE URCUQUI,maiz,ssp126,2061-2080,0.7277,146.1900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
CAHUASQUI,SAN MIGUEL DE URCUQUI,maiz,ssp126,2061-2080,0.7606,2.1700,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
LA MERCED DE BUENOS AIRES,SAN MIGUEL DE URCUQUI,maiz,ssp126,2061-2080,0.6604,945.6000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
PABLO ARENAS,SAN MIGUEL DE URCUQUI,maiz,ssp126,2061-2080,0.7500,81.8000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN BLAS,SAN MIGUEL DE URCUQUI,maiz,ssp126,2061-2080,0.7500,47.3600,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
TUMBABIRO,SAN MIGUEL DE URCUQUI,maiz,ssp126,2061-2080,0.7500,91.4200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN MIGUEL DE IBARRA,IBARRA,frejol,ssp126,2061-2080,0.8398,199.1900,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
AMBUQUI,IBARRA,frejol,ssp126,2061-2080,0.8453,75.1200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
ANGOCHAGUA,IBARRA,frejol,ssp126,2061-2080,0.8245,23.7600,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
LA CAROLINA,IBARRA,frejol,ssp126,2061-2080,0.5607,31.0200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
LA ESPERANZA,IBARRA,frejol,ssp126,2061-2080,0.8425,28.0000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
LITA,IBARRA,frejol,ssp126,2061-2080,0.5684,8.8500,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SALINAS,IBARRA,frejol,ssp126,2061-2080,0.8452,157.5300,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SAN ANTONIO,IBARRA,frejol,ssp126,2061-2080,0.8378,57.4200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
ATUNTAQUI,ANTONIO ANTE,frejol,ssp126,2061-2080,0.8485,40.8100,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
IMBAYA,ANTONIO ANTE,frejol,ssp126,2061-2080,0.8378,8.5000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN FRANCISCO DE NATABUELA,ANTONIO ANTE,frejol,ssp126,2061-2080,0.8378,21.5400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN JOSE DE CHALTURA,ANTONIO ANTE,frejol,ssp126,2061-2080,0.8378,2.1000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN ROQUE,ANTONIO ANTE,frejol,ssp126,2061-2080,0.8496,57.1000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
COTACACHI,COTACACHI,frejol,ssp126,2061-2080,0.8485,181.0400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
APUELA,COTACACHI,frejol,ssp126,2061-2080,0.8058,119.9800,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
GARCIA MORENO,COTACACHI,frejol,ssp126,2061-2080,0.6163,152.0300,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
IMANTAG,COTACACHI,frejol,ssp126,2061-2080,0.8414,10.3400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
PENAHERRERA,COTACACHI,frejol,ssp126,2061-2080,0.7560,123.0400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
PLAZA GUTIERREZ,COTACACHI,frejol,ssp126,2061-2080,0.8365,94.8400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
QUIROGA,COTACACHI,frejol,ssp126,2061-2080,0.8613,64.0500,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SEIS DE JULIO DE CUELLAJE,COTACACHI,frejol,ssp126,2061-2080,0.7215,68.3200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
